transaction_ts,date,symbol,price,amount,dollar_amount,type,trans_id
1601510403,2020-10-01 0:00,ETH_USD,360.03,0.646,232.57938,buy,124289044
1601510403,2020-10-01 0:00,BTC_USD,10780.83,0.035,377.32905,buy,124289043
1601510404,2020-10-01 0:00,ETH_USD,360.12,0.523,188.34276,buy,124289045
1601510405,2020-10-01 0:00,BTC_USD,10784.42,0.25635676,2764.65897,buy,124289050
1601510407,2020-10-01 0:00,BTC_USD,10784.42,0.23877038,2575.000061,buy,124289051
1601510409,2020-10-01 0:00,BTC_USD,10784.42,1.01303547,10924.99998,buy,124289054
1601510410,2020-10-01 0:00,BTC_USD,10784.42,0.26135077,2818.516471,buy,124289055
1601510413,2020-10-01 0:00,ETH_USD,360.39,5.55416701,2001.666249,buy,124289059
1601510414,2020-10-01 0:00,ETH_USD,360.6,13.855,4996.113,buy,124289071
1601510415,2020-10-01 0:00,ETH_USD,360.24,6.32869733,2279.849926,sell,124289072
1601510421,2020-10-01 0:00,BTC_USD,10786.11,0.3192648,3443.625252,sell,124289082
1601510426,2020-10-01 0:00,BTC_USD,10790.79,0.00521073,56.22789318,buy,124289088
1601510435,2020-10-01 0:00,BTC_USD,10783.78,0.00313688,33.82742381,sell,124289093
1601510436,2020-10-01 0:00,BTC_USD,10783.78,0.01060437,114.3551931,sell,124289094
1601510441,2020-10-01 0:00,BTC_USD,10783.78,0.05826829,628.3524203,sell,124289097
1601510442,2020-10-01 0:00,BTC_USD,10783.78,0.02632332,283.8648917,sell,124289098
1601510465,2020-10-01 0:01,LTC_USD,46.24,3.49,161.3776,sell,124289099
1601510465,2020-10-01 0:01,BTC_USD,10782.36,0.02391811,257.8936725,sell,124289100
1601510472,2020-10-01 0:01,BTC_USD,10792.34,2.12543803,22938.44987,buy,124289114
1601510477,2020-10-01 0:01,BTC_USD,10791.84,0.00967696,104.432204,buy,124289124
1601510481,2020-10-01 0:01,BTC_USD,10793.02,0.00278777,30.08845737,sell,124289129
1601510482,2020-10-01 0:01,BTC_USD,10797.37,0.093,1004.15541,buy,124289134
1601510483,2020-10-01 0:01,BTC_USD,10800,1.72825104,18665.11123,buy,124289136
1601510484,2020-10-01 0:01,BTC_USD,10800,1.62681432,17569.59466,buy,124289137
1601510487,2020-10-01 0:01,BTC_USD,10799.67,0.21977411,2373.487863,sell,124289140
1601510489,2020-10-01 0:01,BTC_USD,10799.67,0.003,32.39901,sell,124289143
1601510494,2020-10-01 0:01,BTC_USD,10796.56,0.00670586,72.40021984,sell,124289147
1601510495,2020-10-01 0:01,BTC_USD,10798.19,0.00513601,55.45961182,sell,124289148
1601510514,2020-10-01 0:01,BTC_USD,10796.35,0.00522453,56.40585447,sell,124289154
1601510522,2020-10-01 0:02,ETH_USD,360.37,3.82490288,1378.380251,sell,124289156
1601510524,2020-10-01 0:02,BTC_USD,10803.84,0.66459806,7180.211105,buy,124289164
1601510525,2020-10-01 0:02,LTC_USD,46.34,16.79,778.0486,buy,124289168
1601510533,2020-10-01 0:02,BTC_USD,10795.72,0.00442402,47.76048119,sell,124289172
1601510554,2020-10-01 0:02,ETH_USD,360.37,10.65008812,3837.972256,sell,124289184
1601510554,2020-10-01 0:02,BTC_USD,10794.76,0.09690331,1046.047975,sell,124289186
1601510563,2020-10-01 0:02,ETH_USD,360.25,8,2882,buy,124289192
